model_name,target,loss,r2,split,extract_layer,base_target,bin_num,bin_method,800_id,400_id,200_id,MAE,MAD,MADMAE
hk_co2->hk_h2o_30_extract2,hk_h2o,0.4680549800395965,0.5427602181176963,0.3,2,hk_co2,,,436,189,82,1.8011316657095124,2.724305765085555,1.5125522564239524
hk_co2->hk_h2o_10_extract2,hk_h2o,0.4740942418575287,0.5327889066521614,0.1,2,hk_co2,,,441,182,83,1.8476974770393162,2.724305765085555,1.4744328002497922
hk_co2->hk_h2o_5_extract2,hk_h2o,0.5508878827095032,0.5024788384787034,0.05,2,hk_co2,,,411,172,77,1.9125094877441808,2.724305765085555,1.424466536005996
hk_co2->hk_h2o_3_extract2,hk_h2o,0.4862982630729675,0.5158155276423518,0.03,2,hk_co2,,,432,178,77,1.8503903417980232,2.724305765085555,1.4722870648137671
hk_co2->hk_h2o_1_extract2,hk_h2o,0.4638375341892242,0.5102938294509003,0.01,2,hk_co2,,,424,174,79,1.874363145697954,2.724305765085555,1.4534567494769586
hk_co2->hk_n2_100_extract2,hk_n2,0.5631410479545593,0.4306937351837577,1.0,2,hk_co2,,,445,176,70,0.21913458651974524,0.29849026706545106,1.3621321572555842
hk_co2->hk_n2_50_extract2,hk_n2,0.586353600025177,0.3995944037707848,0.5,2,hk_co2,,,428,174,64,0.2256123146680623,0.29849026706545106,1.3230229365121857
hk_co2->hk_n2_30_extract2,hk_n2,0.5917469263076782,0.3913601306012229,0.3,2,hk_co2,,,400,148,58,0.22770877290334918,0.29849026706545106,1.3108421922423914
hk_co2->hk_n2_10_extract2,hk_n2,0.6969152092933655,0.2840617562070642,0.1,2,hk_co2,,,380,145,54,0.24967844578455162,0.29849026706545106,1.1954987388980278
hk_co2->hk_n2_5_extract2,hk_n2,0.7763333916664124,0.2567514430432103,0.05,2,hk_co2,,,314,85,34,0.25331198259046595,0.29849026706545106,1.1783503646885338
hk_co2->hk_n2_3_extract2,hk_n2,0.7890251874923706,0.2167671210623604,0.03,2,hk_co2,,,293,72,18,0.25918845514083744,0.29849026706545106,1.1516341146570663
hk_co2->hk_n2_1_extract2,hk_n2,0.8190416693687439,0.1983528024017673,0.01,2,hk_co2,,,212,57,15,0.26479205304432585,0.29849026706545106,1.127262935702546
hk_co2->hk_nh3_100_extract2,hk_nh3,0.4246559739112854,0.5759025421524673,1.0,2,hk_co2,,,439,204,91,1.4038028392377906,2.160383469599427,1.538950776572321
hk_co2->hk_nh3_50_extract2,hk_nh3,0.4252136051654815,0.5784725694851658,0.5,2,hk_co2,,,426,205,91,1.342492418203784,2.160383469599427,1.6092332740991993
hk_co2->hk_nh3_30_extract2,hk_nh3,0.4011321663856506,0.5937406745614678,0.3,2,hk_co2,,,438,200,89,1.3212114764642577,2.160383469599427,1.6351534240233123
hk_co2->hk_nh3_10_extract2,hk_nh3,0.396662026643753,0.59459268318127,0.1,2,hk_co2,,,426,199,88,1.3010560507139641,2.160383469599427,1.660484549004557
hk_co2->hk_nh3_5_extract2,hk_nh3,0.4716832339763641,0.5759159554424084,0.05,2,hk_co2,,,421,192,87,1.320989986570596,2.160383469599427,1.635427589582241
hk_co2->hk_nh3_3_extract2,hk_nh3,0.4264740645885467,0.574985277829644,0.03,2,hk_co2,,,438,197,85,1.3492793436797847,2.160383469599427,1.6011387706474338
hk_co2->hk_nh3_1_extract2,hk_nh3,0.4273009300231933,0.5551279682447317,0.01,2,hk_co2,,,418,194,83,1.3954203665675495,2.160383469599427,1.5481954551899877
hk_h2o->hk_co2_100_extract0,hk_co2,0.3223607242107391,0.6866558168981447,1.0,0,hk_h2o,,,528,225,100,0.39789550685743214,0.7664751978727791,1.926322827634771
hk_h2o->hk_co2_50_extract0,hk_co2,0.3356046676635742,0.6746913219715935,0.5,0,hk_h2o,,,521,232,101,0.4052692698876492,0.7664751978727791,1.8912739129844836
hk_h2o->hk_co2_30_extract0,hk_co2,0.3392943739891052,0.6655430984372931,0.3,0,hk_h2o,,,531,223,99,0.41401296592244324,0.7664751978727791,1.851331385636754
hk_h2o->hk_co2_10_extract0,hk_co2,0.3791104257106781,0.636319603173747,0.1,0,hk_h2o,,,503,212,78,0.41400368983074914,0.7664751978727791,1.8513728662324858
hk_h2o->hk_co2_5_extract0,hk_co2,0.3774701058864593,0.6279097867254027,0.05,0,hk_h2o,,,506,204,83,0.41280105939916256,0.7664751978727791,1.8567665475190251
